STT;Function ID (*);Tàn CN;M? MÖn hçnh;Tàn mÖn hçnh/API;M? quy trçnh;Tàn quy trçnh;M? UC (*)
;DC1-TT-TN-KHTC-TKE-121;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC121-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC121
;DC1-TT-TN-KHTC-TKE-122;Kho d? li?u dóng chung ti?p nh?n d? li?u th?ng kà trong l?nh v?c T? ch?c vÖ ng??i lÖm cìng t†c ph†p ch? theo Thìng t? c?a B? tr??ng B? T? ph t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC122-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC122
;DC1-TT-TN-KHTC-TKE-122;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC122-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC122
;DC1-TT-TN-KHTC-TKE-123;Kho d? li?u dóng chung ti?p nh?n d? li?u th?ng kà trong l?nh v?c Ph? bi?n, gi†o d?c ph†p lu?t theo Thìng t? c?a B? tr??ng B? T? ph†p quy ??n t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC123-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC123
1;DC1-TT-TN-KHTC-TKE-123;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC123-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC123
2;DC1-TT-TN-KHTC-TKE-124;Kho d? li?u dóng chung ti?p nh?n d? li?u th?ng kà trong l?nh v?c Hïa gi?i ? c? s? theo Thìng t? c?a B? tr??ng B? T? ph†p quy ??nh m?t s? n?i t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC124-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC124
3;DC1-TT-TN-KHTC-TKE-124;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC124-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC124
4;DC1-TT-TN-KHTC-TKE-125;Kho d? li?u dóng chung ti?p nh?n d? li?u th?ng kà trong l?nh v?c Chu?n ti?p c?n ph†p lu?t theo Thìng t? c?a B? tr??ng B? T? ph†p quy ??nh m? t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC125-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC125
5;DC1-TT-TN-KHTC-TKE-125;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC125-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC125
6;DC1-TT-TN-KHTC-TKE-126;Kho d? li?u dóng chung ti?p nh?n d? li?u th?ng kà trong l?nh v?c H? t?ch theo Thìng t? c?a B? tr??ng B? T? ph†p quy ??nh m?t s? n?i dung v? t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC126-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC126
7;DC1-TT-TN-KHTC-TKE-126;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC126-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC126
8;DC1-TT-TN-KHTC-TKE-127;Kho d? li?u dóng chung ti?p nh?n d? li?u th?ng kà trong l?nh v?c Ch?ng th?c theo Thìng t? c?a B? tr??ng B? T? ph†p quy ??nh m?t s? n?i dung t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC127-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC127
9;DC1-TT-TN-KHTC-TKE-127;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC127-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC127
1;DC1-TT-TN-KHTC-TKE-128;Kho d? li?u dóng chung ti?p nh?n d? li?u th?ng kà trong l?nh v?c L? l?ch t? ph†p theo Thìng t? c?a B? tr??ng B? T? ph†p quy ??nh m?t s? n?i t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC128-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC128
2;DC1-TT-TN-KHTC-TKE-128;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC128-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC128
3;DC1-TT-TN-KHTC-TKE-129;Kho d? li?u dóng chung ti?p nh?n d? li?u th?ng kà trong l?nh v?c Nuìi con nuìi theo Thìng t? c?a B? tr??ng B? T? ph†p quy ??nh m?t s? n?i du t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC129-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC129
4;DC1-TT-TN-KHTC-TKE-129;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC129-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC129
5;DC1-TT-TN-KHTC-TKE-130;Kho d? li?u dóng chung ti?p nh?n d? li?u th?ng kà trong l?nh v?c Tr? gi£p ph†p l? theo Thìng t? c?a B? tr??ng B? T? ph†p quy ??nh m?t s? n?i t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC130-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC130
6;DC1-TT-TN-KHTC-TKE-130;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC130-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC130
;DC1-TT-TN-KHTC-TKE-131;Kho d? li?u dóng chung ti?p nh?n d? li?u th?ng kà trong l?nh v?c ??ng k? giao d?ch b?o ??m theo Thìng t? c?a B? tr??ng B? T? ph†p quy ??nh m t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC131-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC131
;DC1-TT-TN-KHTC-TKE-131;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC131-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC131
;DC1-TT-TN-KHTC-TKE-132;Kho d? li?u dóng chung ti?p nh?n d? li?u th?ng kà trong l?nh v?c Lu?t s? theo Thìng t? c?a B? tr??ng B? T? ph†p quy ??nh m?t s? n?i dung v? t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC132-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC132
;DC1-TT-TN-KHTC-TKE-132;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC132-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC132
;DC1-TT-TN-KHTC-TKE-133;Kho d? li?u dóng chung ti?p nh?n d? li?u th?ng kà trong l?nh v?c Cìng ch?ng theo Thìng t? c?a B? tr??ng B? T? ph†p quy ??nh m?t s? n?i dung t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC133-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC133
;DC1-TT-TN-KHTC-TKE-133;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC133-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC133
;DC1-TT-TN-KHTC-TKE-134;Kho d? li?u dóng chung ti?p nh?n d? li?u th?ng kà trong l?nh v?c Gi†m ??nh t? ph†p theo Thìng t? c?a B? tr??ng B? T? ph†p quy ??nh m?t s? n? t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC134-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC134
;DC1-TT-TN-KHTC-TKE-134;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC134-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC134
;DC1-TT-TN-KHTC-TKE-135;Kho d? li?u dóng chung ti?p nh?n d? li?u th?ng kà trong l?nh v?c ??u gi† tÖi s?n theo Thìng t? c?a B? tr??ng B? T? ph†p quy ??nh m?t s? n?i t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC135-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC135
;DC1-TT-TN-KHTC-TKE-135;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC135-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC135
;DC1-TT-TN-KHTC-TKE-136;Kho d? li?u dóng chung ti?p nh?n d? li?u th?ng kà trong l?nh v?c Tr?ng tÖi th??ng m?i theo Thìng t? c?a B? tr??ng B? T? ph†p quy ??nh m?t s? t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC136-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC136
;DC1-TT-TN-KHTC-TKE-136;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC136-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC136
;DC1-TT-TN-KHTC-TKE-137;Kho d? li?u dóng chung ti?p nh?n d? li?u th?ng kà trong l?nh v?c Hïa gi?i th??ng m?i theo Thìng t? c?a B? tr??ng B? T? ph†p quy ??nh m?t s? t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC137-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC137
;DC1-TT-TN-KHTC-TKE-137;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC137-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC137
;DC1-TT-TN-KHTC-TKE-138;Kho d? li?u dóng chung ti?p nh?n d? li?u th?ng kà trong l?nh v?c Qu?n l? thanh l? tÖi s?n theo Thìng t? c?a B? tr??ng B? T? ph†p quy ??nh m? t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC138-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC138
;DC1-TT-TN-KHTC-TKE-138;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC138-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC138
;DC1-TT-TN-KHTC-TKE-139;Kho d? li?u dóng chung ti?p nh?n d? li?u th?ng kà trong l?nh v?c T??ng tr? t? ph†p theo Thìng t? c?a B? tr??ng B? T? ph†p quy ??nh m?t s? n? t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC139-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC139
;DC1-TT-TN-KHTC-TKE-139;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC139-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC139
;DC1-DXTT-NN-140;Kho DLDC ti?p nh?n g¢i tin ??i so†t vÖ t? ??ng ??i chi?u d? li?u. Kho d? li?u dóng chung t?ng h?p k?t qu? ??i so†t vÖ g?i ph?n h?i v? cho h? th?ng ngu?n;DC1-UC140-MH1;MÖn xem chi ti?t;DC1-DX;??i so†t thu th?p;DC1-UC140
;DC1-DXTT-NN-141;Kho DLDC ti?p nh?n g¢i tin ??i so†t vÖ t? ??ng ??i chi?u d? li?u. Kho d? li?u dóng chung t?ng h?p k?t qu? ??i so†t vÖ g?i ph?n h?i v? cho h? th?ng ngu?n;DC1-UC141-MH1;MÖn xem chi ti?t;DC1-DX;??i so†t thu th?p;DC1-UC141
;DC1-DXTT-TN-HCTP-HT-142;Kho DLDC ti?p nh?n g¢i tin ??i so†t vÖ t? ??ng ??i chi?u d? li?u. Kho d? li?u dóng chung t?ng h?p k?t qu? ??i so†t vÖ g?i ph?n h?i v? cho h? th?ng ngu?n;DC1-UC142-MH1;MÖn xem chi ti?t;DC1-DX;??i so†t thu th?p;DC1-UC142
;DC1-DXTT-TN-HCTP-QT-143;Kho DLDC ti?p nh?n g¢i tin ??i so†t vÖ t? ??ng ??i chi?u d? li?u. Kho d? li?u dóng chung t?ng h?p k?t qu? ??i so†t vÖ g?i ph?n h?i v? cho h? th?ng ngu?n;DC1-UC143-MH1;MÖn xem chi ti?t;DC1-DX;??i so†t thu th?p;DC1-UC143
;DC1-DXTT-TN-GDDB-BP-145;Kho DLDC ti?p nh?n g¢i tin ??i so†t vÖ t? ??ng ??i chi?u d? li?u. Kho d? li?u dóng chung t?ng h?p k?t qu? ??i so†t vÖ g?i ph?n h?i v? cho h? th?ng ngu?n;DC1-UC145-MH1;MÖn xem chi ti?t;DC1-DX;??i so†t thu th?p;DC1-UC145
;DC1-DXTT-TN-KT&VLHC-PL-146;Kho DLDC ti?p nh?n g¢i tin ??i so†t vÖ t? ??ng ??i chi?u d? li?u. Kho d? li?u dóng chung t?ng h?p k?t qu? ??i so†t vÖ g?i ph?n h?i v? cho h? th?ng ngu?n;DC1-UC146-MH1;MÖn xem chi ti?t;DC1-DX;??i so†t thu th?p;DC1-UC146
;DC1-DXTT-TN-KT&VLHC-TTTP-147;Kho DLDC ti?p nh?n g¢i tin ??i so†t vÖ t? ??ng ??i chi?u d? li?u. Kho d? li?u dóng chung t?ng h?p k?t qu? ??i so†t vÖ g?i ph?n h?i v? cho h? th?ng ngu?n;DC1-UC147-MH1;MÖn xem chi ti?t;DC1-DX;??i so†t thu th?p;DC1-UC147
;DC1-DXTT-TN-KT&VLHC-TGPL-148;Kho DLDC ti?p nh?n g¢i tin ??i so†t vÖ t? ??ng ??i chi?u d? li?u. Kho d? li?u dóng chung t?ng h?p k?t qu? ??i so†t vÖ g?i ph?n h?i v? cho h? th?ng ngu?n;DC1-UC148-MH1;MÖn xem chi ti?t;DC1-DX;??i so†t thu th?p;DC1-UC148
;DC1-DXTT-TN-KT&VLHC-GDPL&HG-149;Kho DLDC ti?p nh?n g¢i tin ??i so†t vÖ t? ??ng ??i chi?u d? li?u. Kho d? li?u dóng chung t?ng h?p k?t qu? ??i so†t vÖ g?i ph?n h?i v? cho h? th?ng ngu?n;DC1-UC149-MH1;MÖn xem chi ti?t;DC1-DX;??i so†t thu th?p;DC1-UC149
;DC1-DXTT-TN-BTTP-DGTS-150;Kho DLDC ti?p nh?n g¢i tin ??i so†t vÖ t? ??ng ??i chi?u d? li?u. Kho d? li?u dóng chung t?ng h?p k?t qu? ??i so†t vÖ g?i ph?n h?i v? cho h? th?ng ngu?n;DC1-UC150-MH1;MÖn xem chi ti?t;DC1-DX;??i so†t thu th?p;DC1-UC150
;DC1-DXTT-TN-KHTC-TKE-151;Kho DLDC ti?p nh?n g¢i tin ??i so†t vÖ t? ??ng ??i chi?u d? li?u. Kho d? li?u dóng chung t?ng h?p k?t qu? ??i so†t vÖ g?i ph?n h?i v? cho h? th?ng ngu?n;DC1-UC151-MH1;MÖn xem chi ti?t;DC1-DX;??i so†t thu th?p;DC1-UC151
;DC1-XLDL-TLNN-152;C?u hçnh ki?m tra quy t?c bi?n ??i ??nh d?ng;DC1-UC152-MH1;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC152
;DC1-XLDL-TLNN-152;C?u hçnh bi?n ??i g?p ho?c t†ch c?t;DC1-UC152-MH2;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC152
;DC1-XLDL-TLNN-152;C?u hçnh phÉn lo?i, g†n nh?n;DC1-UC152-MH3;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC152
;DC1-XLDL-TLNN-153;c?u hçnh ki?m tra ??i s†nh t?n t?i d?a tràn tr??ng kh¢a c?a ??u gi† viàn;DC1-UC153-MH4;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC153
;DC1-XLDL-TLNN-153;c?u hçnh x? l? tróng l?p v? ??u gi† viàn;DC1-UC153-MH5;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC153
;DC1-XLDL-TLNN-153;c?u hçnh x? l? vi ph?m v? rÖng bu?c thu?c t°nh tham chi?u ??u gi† viàn;DC1-UC153-MH6;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC153
;DC1-XLDL-TLNN-154;C?u hçnh ki?m tra quy t?c bi?n ??i ??nh d?ng;DC1-UC154-MH1;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC154
;DC1-XLDL-TLNN-154;C?u hçnh bi?n ??i g?p ho?c t†ch c?t;DC1-UC154-MH2;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC154
;DC1-XLDL-TLNN-154;C?u hçnh phÉn lo?i, g†n nh?n;DC1-UC154-MH3;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC154
;DC1-XLDL-TLNN-155;C?u hçnh ki?m tra quy t?c bi?n ??i ??nh d?ng;DC1-UC155-MH4;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC155
;DC1-XLDL-TLNN-155;C?u hçnh bi?n ??i g?p ho?c t†ch c?t;DC1-UC155-MH5;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC155
;DC1-XLDL-TLNN-155;C?u hçnh phÉn lo?i, g†n nh?n;DC1-UC155-MH6;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC155
;DC1-XLDL-TLNN-156;C?u hçnh ki?m tra quy t?c bi?n ??i ??nh d?ng;DC1-UC156-MH1;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC156
;DC1-XLDL-TLNN-156;C?u hçnh bi?n ??i g?p ho?c t†ch c?t;DC1-UC156-MH2;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC156
;DC1-XLDL-TLNN-156;C?u hçnh phÉn lo?i, g†n nh?n;DC1-UC156-MH3;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC156
;DC1-XLDL-TLNN-157;C?u hçnh ki?m tra quy t?c bi?n ??i ??nh d?ng;DC1-UC157-MH1;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC157
;DC1-XLDL-TLNN-157;C?u hçnh bi?n ??i g?p ho?c t†ch c?t;DC1-UC157-MH2;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC157
;DC1-XLDL-TLNN-157;C?u hçnh phÉn lo?i, g†n nh?n;DC1-UC157-MH3;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC157
;DC1-XLDL-TLNN-158;C?u hçnh ki?m tra quy t?c bi?n ??i ??nh d?ng;DC1-UC158-MH1;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC158
;DC1-XLDL-TLNN-158;C?u hçnh bi?n ??i g?p ho?c t†ch c?t;DC1-UC158-MH2;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC158
;DC1-XLDL-TLNN-158;C?u hçnh phÉn lo?i, g†n nh?n;DC1-UC158-MH3;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC158
;DC1-XLDL-TLNN-159;C?u hçnh ki?m tra quy t?c bi?n ??i ??nh d?ng;DC1-UC159-MH1;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC159
;DC1-XLDL-TLNN-159;C?u hçnh bi?n ??i g?p ho?c t†ch c?t;DC1-UC159-MH2;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC159
;DC1-XLDL-TLNN-159;C?u hçnh phÉn lo?i, g†n nh?n;DC1-UC159-MH3;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC159
;DC1-XLDL-TLNN-160;C?u hçnh ki?m tra quy t?c bi?n ??i ??nh d?ng;DC1-UC160-MH1;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC160
;DC1-XLDL-TLNN-160;C?u hçnh bi?n ??i g?p ho?c t†ch c?t;DC1-UC160-MH2;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC160
;DC1-XLDL-TLNN-160;C?u hçnh phÉn lo?i, g†n nh?n;DC1-UC160-MH3;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC160
;DC1-XLDL-TLNN-161;C?u hçnh ki?m tra quy t?c bi?n ??i ??nh d?ng;DC1-UC161-MH1;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC161
;DC1-XLDL-TLNN-161;C?u hçnh bi?n ??i g?p ho?c t†ch c?t;DC1-UC161-MH2;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC161
;DC1-XLDL-TLNN-161;C?u hçnh phÉn lo?i, g†n nh?n;DC1-UC161-MH3;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC161
;DC1-XLDL-TLNN-162;C?u hçnh ki?m tra quy t?c bi?n ??i ??nh d?ng;DC1-UC162-MH1;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC162
;DC1-XLDL-TLNN-162;C?u hçnh bi?n ??i g?p ho?c t†ch c?t;DC1-UC162-MH2;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC162
;DC1-XLDL-TLNN-162;C?u hçnh phÉn lo?i, g†n nh?n;DC1-UC162-MH3;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC162
;DC1-XLDL-TLNN-163;C?u hçnh ki?m tra quy t?c bi?n ??i ??nh d?ng;DC1-UC163-MH1;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC163
;DC1-XLDL-TLNN-163;C?u hçnh bi?n ??i g?p ho?c t†ch c?t;DC1-UC163-MH2;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC163
;DC1-XLDL-TLNN-163;C?u hçnh phÉn lo?i, g†n nh?n;DC1-UC163-MH3;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC163
;DC1-XLDL-TLNN-164;C?u hçnh ki?m tra quy t?c bi?n ??i ??nh d?ng;DC1-UC164-MH1;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC164
;DC1-XLDL-TLNN-164;C?u hçnh bi?n ??i g?p ho?c t†ch c?t;DC1-UC164-MH2;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC164
;DC1-XLDL-TLNN-164;C?u hçnh phÉn lo?i, g†n nh?n;DC1-UC164-MH3;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC164
;DC1-XLDL-TLNN-165;c?u hçnh ki?m tra quy t?c v? chu?n ??nh d?ng Thìng tin B?n †n, quy?t ??nh. H? th?ng ghi nh?n quy t?c ???c thi?t l?p.;DC1-UC165-MH1;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC165
;DC1-XLDL-TLNN-165;c?u hçnh ki?m tra t°nh h?p l? v? Thìng tin B?n †n, quy?t ??nh. H? th?ng ghi nh?n quy t?c ???c thi?t l?p.;DC1-UC165-MH2;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC165
;DC1-XLDL-TLNN-165;c?u hçnh x? l? gi† tr? thi?u v? Thìng tin B?n †n, quy?t ??nh. H? th?ng ghi nh?n quy t?c ???c thi?t l?p.;DC1-UC165-MH3;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC165
;DC1-XLDL-TLNN-165;c?u hçnh x? l? lo?i b? ho?c thay th? gi† tr? ngo?i l? v? Thìng tin B?n †n, quy?t ??nh. H? th?ng ghi nh?n quy t?c ???c thi?t l?p;DC1-UC165-MH4;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC165
;DC1-XLDL-TLNN-166;c?u hçnh ki?m tra ??i s†nh t?n t?i d?a tràn tr??ng kh¢a c?a Thìng tin B?n †n, quy?t ??nh. H? th?ng ghi nh?n quy t?c ???c thi?t l?p.;DC1-UC166-MH1;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC166
;DC1-XLDL-TLNN-166;c?u hçnh x? l? tróng l?p v? Thìng tin B?n †n, quy?t ??nh. H? th?ng ghi nh?n quy t?c ???c thi?t l?p.;DC1-UC166-MH2;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC166
;DC1-XLDL-TLNN-166;c?u hçnh x? l? vi ph?m v? rÖng bu?c thu?c t°nh tham chi?u Thìng tin B?n †n, quy?t ??nh. H? th?ng ghi nh?n quy t?c ???c thi?t l?p.;DC1-UC166-MH3;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC166
;DC1-XLDL-TLNN-167;C?u hçnh ki?m tra quy t?c bi?n ??i ??nh d?ng;DC1-UC167-MH1;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC167
;DC1-XLDL-TLNN-167;C?u hçnh bi?n ??i g?p ho?c t†ch c?t;DC1-UC167-MH2;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC167
;DC1-XLDL-TLNN-167;C?u hçnh phÉn lo?i, g†n nh?n;DC1-UC167-MH3;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC167
;DC1-XLDL-TTTN-HCTP-HT-168;C?u hçnh ki?m tra quy t?c v? chu?n ??nh d?ng B? d? li?u h? s? ??ng k? khai sinh. H? th?ng ghi nh?n quy t?c ???c thi?t l?p.;DC1-UC168-MH1;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC168
;DC1-XLDL-TTTN-HCTP-HT-168;C?u hçnh ki?m tra t°nh h?p l? v? B? d? li?u h? s? ??ng k? khai sinh. H? th?ng ghi nh?n quy t?c ???c thi?t l?p.;DC1-UC168-MH2;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC168
;DC1-XLDL-TTTN-HCTP-HT-168;C?u hçnh x? l? gi† tr? thi?u v? B? d? li?u h? s? ??ng k? khai sinh. H? th?ng ghi nh?n quy t?c ???c thi?t l?p.;DC1-UC168-MH3;C?u hçnh;DC1-XL;X? l? d? li?u;DC1-UC168
